collection,collection_id,collection_key,item_id,item_key,item_type,title,attachment_title,date,creators,parent_item_id,parent_key,parent_type,content_type,attachment_path,resolved_file_path,file_exists,file_size_bytes,file_modified
Hyperspectral Paper,3,X8H6D6C6,24,5TI5X47P,journalArticle,Soil conditions modify species diversity effects on tree functional trait expression,,2024-07-24 2024-07-24,"Davrinche, Andréa; Haider, Sylvia",,,,,,,,,
Hyperspectral Paper,3,X8H6D6C6,25,4MK8PYJ4,attachment,Soil conditions modify species diversity effects on tree functional trait expression,Full Text PDF,2024-07-24 2024-07-24,"Davrinche, Andréa; Haider, Sylvia",24,5TI5X47P,journalArticle,application/pdf,storage:Davrinche and Haider - 2024 - Soil conditions modify species diversity effects on tree functional trait expression.pdf,C:\Users\PaintRock\Zotero\storage\4MK8PYJ4\Davrinche and Haider - 2024 - Soil conditions modify species diversity effects on tree functional trait expression.pdf,True,2030378,2025-11-06T12:47:11
Hyperspectral Paper,3,X8H6D6C6,26,2UWDTFGX,journalArticle,Intra-annual taxonomic and phenological drivers of spectral variance in grasslands,,2022-03-15 2022-03-15,"Thornley, Rachael; Gerard, France F.; White, Kevin; Verhoef, Anne",,,,,,,,,
Hyperspectral Paper,3,X8H6D6C6,27,AX33PL8D,attachment,Intra-annual taxonomic and phenological drivers of spectral variance in grasslands,ScienceDirect Snapshot,2022-03-15 2022-03-15,"Thornley, Rachael; Gerard, France F.; White, Kevin; Verhoef, Anne",26,2UWDTFGX,journalArticle,text/html,storage:S0034425722000220.html,C:\Users\PaintRock\Zotero\storage\AX33PL8D\S0034425722000220.html,True,4063293,2025-12-18T10:23:13
Hyperspectral Paper,3,X8H6D6C6,28,FJAFIURN,attachment,Intra-annual taxonomic and phenological drivers of spectral variance in grasslands,ScienceDirect Full Text PDF,2022-03-15 2022-03-15,"Thornley, Rachael; Gerard, France F.; White, Kevin; Verhoef, Anne",26,2UWDTFGX,journalArticle,application/pdf,storage:Thornley et al. - 2022 - Intra-annual taxonomic and phenological drivers of spectral variance in grasslands.pdf,C:\Users\PaintRock\Zotero\storage\FJAFIURN\Thornley et al. - 2022 - Intra-annual taxonomic and phenological drivers of spectral variance in grasslands.pdf,True,4822544,2025-12-18T10:23:14
Hyperspectral Paper,3,X8H6D6C6,29,HNVI5SQ2,journalArticle,Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by a Tree-Based Classifier,,2012-06-17 2012-06-17,"Clark, Matthew L.; Roberts, Dar A.; Clark, Matthew L.; Roberts, Dar A.",,,,,,,,,
Hyperspectral Paper,3,X8H6D6C6,30,R84AWY83,attachment,Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by a Tree-Based Classifier,Full Text PDF,2012-06-17 2012-06-17,"Clark, Matthew L.; Roberts, Dar A.; Clark, Matthew L.; Roberts, Dar A.",29,HNVI5SQ2,journalArticle,application/pdf,storage:Clark et al. - 2012 - Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by.pdf,C:\Users\PaintRock\Zotero\storage\R84AWY83\Clark et al. - 2012 - Species-Level Differences in Hyperspectral Metrics among Tropical Rainforest Trees as Determined by.pdf,True,1427350,2025-12-18T10:25:47
Hyperspectral Paper,3,X8H6D6C6,31,RBJ8EHVR,journalArticle,Spectral Diversity as a Predictor of Tree Diversity: Exploring Challenges and Opportunities Across Forest Ecosystems,,2024-12-31 2024-12-31,"Donnini, Jennifer; Kross, Angela; Alejo, Camilo",,,,,,,,,
Hyperspectral Paper,3,X8H6D6C6,32,6KSFAIJL,attachment,Spectral Diversity as a Predictor of Tree Diversity: Exploring Challenges and Opportunities Across Forest Ecosystems,Full Text PDF,2024-12-31 2024-12-31,"Donnini, Jennifer; Kross, Angela; Alejo, Camilo",31,RBJ8EHVR,journalArticle,application/pdf,storage:Donnini et al. - 2024 - Spectral Diversity as a Predictor of Tree Diversity Exploring Challenges and Opportunities Across F.pdf,C:\Users\PaintRock\Zotero\storage\6KSFAIJL\Donnini et al. - 2024 - Spectral Diversity as a Predictor of Tree Diversity Exploring Challenges and Opportunities Across F.pdf,True,6416889,2025-12-18T10:38:48
Hyperspectral Paper,3,X8H6D6C6,33,QYZ7UP92,journalArticle,Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signal,,2024-00-00 2024,"Blanchard, Florence; Bruneau, Anne; Laliberté, Etienne",,,,,,,,,
Hyperspectral Paper,3,X8H6D6C6,34,7TSGWA7F,attachment,Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signal,Full Text PDF,2024-00-00 2024,"Blanchard, Florence; Bruneau, Anne; Laliberté, Etienne",33,QYZ7UP92,journalArticle,application/pdf,storage:Blanchard et al. - 2024 - Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signa.pdf,C:\Users\PaintRock\Zotero\storage\7TSGWA7F\Blanchard et al. - 2024 - Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signa.pdf,True,2120969,2025-12-18T10:42:24
Hyperspectral Paper,3,X8H6D6C6,35,AUGMRCNT,attachment,Foliar spectra accurately distinguish most temperate tree species and show strong phylogenetic signal,Snapshot,2024-00-00 2024,"Blanchard, Florence; Bruneau, Anne; Laliberté, Etienne",33,QYZ7UP92,journalArticle,text/html,storage:ajb2.html,C:\Users\PaintRock\Zotero\storage\AUGMRCNT\ajb2.html,True,5047735,2025-12-18T10:42:29
Hyperspectral Paper,3,X8H6D6C6,36,G5QHGC3D,journalArticle,Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant communities,,2025-03-01 2025-03-01,"Villa, Paolo; Berton, Andrea; Bolpagni, Rossano; Caccia, Michele; Castellani, Maria B.; Dalla Vecchia, Alice; Gallivanone, Francesca; Lastrucci, Lorenzo; Piaser, Erika; Coppi, Andrea",,,,,,,,,
Hyperspectral Paper,3,X8H6D6C6,37,9PIK666E,attachment,Exploring spectral and phylogenetic diversity links with functional structure of aquatic plant communities,ScienceDirect Snapshot,2025-03-01 2025-03-01,"Villa, Paolo; Berton, Andrea; Bolpagni, Rossano; Caccia, Michele; Castellani, Maria B.; Dalla Vecchia, Alice; Gallivanone, Francesca; Lastrucci, Lorenzo; Piaser, Erika; Coppi, Andrea",36,G5QHGC3D,journalArticle,text/html,storage:S0034425724006084.html,C:\Users\PaintRock\Zotero\storage\9PIK666E\S0034425724006084.html,True,3835529,2026-01-12T11:46:06
